category,ticker,name,strategy,total_return_pct
투자자별,009540,009540,VolSpike_10_3x,-2.30162124699983
투자자별,001040,001040,BB_20_2_F5,-2.3421845269996524
투자자별,001120,001120,BB_20_2.5_F10,-2.4685729499999134
투자자별,012030,012030,RSI_7_25_F10,-2.751085996999145
투자자별,003580,003580,RSI_7_25_F10,-2.7698222409990576
투자자별,007700,007700,BB_20_2_F5,-2.796336359999761
앙상블,263750,펄어비스,MeanRev_20_2.5,-2.8351197199999243
앙상블,207940,삼성바이오로직스,MultiFactor_443_50,-2.899577773998886
투자자별,001040,001040,SmartDiv_20_10,-2.907123159999013
투자자별,051905,051905,BB_20_2_F5,-3.0305235999997704
앙상블,6400,삼성SDI,Breakout_10_3,-3.291581869998917
투자자별,003555,003555,MACD_8_21_5_F10,-3.342924268999264
투자자별,011070,011070,VolAdj_F10_V20,-3.4586690999995477
투자자별,001250,001250,SmartDiv_50_20,-3.525006129998475
앙상블,51910,LG화학,Voting_4,-3.628045499998137
투자자별,007340,007340,BB_20_2.5_F10,-3.7105542099998887
투자자별,037560,037560,VolSpike_10_3x,-3.7329143699997216
앙상블,51910,LG화학,MultiFactor_532_60,-3.795988099998817
투자자별,051905,051905,VolSpike_10_3x,-3.84705869999978
투자자별,032640,032640,VolSpike_10_3x,-3.943781329999909
투자자별,011200,011200,SmartDiv_50_20,-4.039718512999267
투자자별,060980,060980,MACD_8_21_5_F10,-4.151876899999171
투자자별,007070,007070,RSI_7_25_F10,-4.158999142999202
투자자별,039570,039570,MACD_12_26_9_F5,-4.178863624999493
투자자별,006360,006360,RSI_14_30_F5,-4.188106929999664
투자자별,035000,035000,SmartDiv_50_20,-4.199768169999466
앙상블,373220,LG에너지솔루션,MeanRev_20_2,-4.213192999999851
투자자별,051905,051905,RSI_7_25_F10,-4.2214313999992905
투자자별,006840,006840,VolSpike_10_3x,-4.354509309999808
투자자별,039570,039570,RSI_14_30_F5,-4.423112359999433
투자자별,032640,032640,SmartDiv_20_10,-4.474776969998821
투자자별,006360,006360,VolSpike_10_3x,-4.505702749999821
투자자별,039570,039570,VolSpike_10_3x,-4.5445213299997
투자자별,000300,000300,VolAdj_F5_V15,-4.581991243999093
투자자별,001465,001465,VolAdj_F10_V20,-4.634112349999263
투자자별,010120,010120,MACD_12_26_9_F5,-4.706328499999449
투자자별,001465,001465,VolSpike_20_2x,-4.862765159999505
투자자별,001120,001120,TrendStr_10_50_5,-4.988808899999335
투자자별,001120,001120,VolAdj_F5_V15,-5.106601879999399
투자자별,016610,016610,VolSpike_10_3x,-5.132840134999648
투자자별,011150,011150,VolSpike_20_2x,-5.153517459999174
투자자별,001460,001460,RSI_14_30_F5,-5.16508239999938
투자자별,032640,032640,MACD_12_26_9_F5,-5.16652400999935
투자자별,051915,051915,BB_20_2_F5,-5.17355119999972
투자자별,017860,017860,TrendStr_10_50_5,-5.197023555999905
앙상블,373220,LG에너지솔루션,Adaptive_30,-5.2554669999995385
투자자별,001460,001460,MACD_12_26_9_F5,-5.29518004999955
투자자별,012630,012630,VolSpike_10_3x,-5.375113950999767
투자자별,060980,060980,RetailContra_10_90,-5.393643249999627
투자자별,009540,009540,BB_20_2.5_F10,-5.4216965449998975
투자자별,039570,039570,VolAdj_F5_V15,-5.467723424999074
투자자별,012630,012630,BB_20_2_F5,-5.501373470999867
투자자별,001120,001120,BB_20_2_F5,-5.5072423499998
앙상블,35720,카카오,MeanRev_20_2.5,-5.714756503999949
투자자별,015590,015590,TrendStr_20_100_10,-5.789193317999393
투자자별,004840,004840,BB_20_2.5_F10,-5.824820549999952
앙상블,207940,삼성바이오로직스,Breakout_50_10,-5.839481160999462
투자자별,009540,009540,BB_20_2_F5,-5.963441124999642
앙상블,51910,LG화학,MeanRev_20_2,-6.039062499999806
투자자별,000120,000120,BB_20_2_F5,-6.197696799999579
투자자별,051900,051900,VolSpike_10_3x,-6.281450999999925
투자자별,051910,051910,RetailContra_5_80,-6.375303499998242
투자자별,001465,001465,BB_20_2_F5,-6.387552159999832
앙상블,68270,셀트리온제약,Breakout_50_10,-6.412889042999789
앙상블,51910,LG화학,Breakout_50_10,-6.460450999999508
투자자별,011150,011150,MACD_12_26_9_F5,-6.570663334999412
투자자별,00104K,00104K,RetailContra_5_80,-6.571153499999211
투자자별,011150,011150,RetailContra_10_90,-6.643832909999206
투자자별,006360,006360,RetailContra_10_90,-6.659510399999484
투자자별,002460,002460,TrendStr_20_100_10,-6.728040319999545
투자자별,006840,006840,MACD_12_26_9_F5,-6.7428477099993085
투자자별,060980,060980,VolAdj_F10_V20,-6.74894034999919
앙상블,5930,삼성전자,MeanRev_20_2,-6.755769499999969
앙상블,51910,LG화학,Breakout_10_3,-6.928113499998704
투자자별,032640,032640,VolSpike_20_2x,-7.068887609999433
투자자별,000215,000215,BB_20_2.5_F10,-7.1598254169999365
투자자별,006360,006360,SmartDiv_20_10,-7.20636115999867
투자자별,010120,010120,BB_20_2.5_F10,-7.2460562999998785
투자자별,000210,000210,MACD_12_26_9_F5,-7.34778512999934
투자자별,005830,005830,RetailContra_10_90,-7.361355799999609
투자자별,012030,012030,TrendStr_20_100_10,-7.391249677999437
투자자별,009540,009540,MACD_12_26_9_F5,-7.415933730999217
투자자별,006360,006360,RSI_7_25_F10,-7.429690709999323
투자자별,006260,006260,RetailContra_5_80,-7.431567249998613
투자자별,035000,035000,MACD_8_21_5_F10,-7.501734314999298
투자자별,039570,039570,VolAdj_F10_V20,-7.51612547999905
투자자별,032640,032640,TrendStr_20_100_10,-7.539715419999673
앙상블,6400,삼성SDI,MeanRev_20_2,-7.584347173999846
투자자별,011070,011070,RetailContra_5_80,-7.6373072999982545
투자자별,051905,051905,RSI_14_30_F5,-8.050410399999679
투자자별,000210,000210,RSI_14_30_F5,-8.06549188099946
투자자별,004840,004840,RSI_14_30_F5,-8.233017603999675
투자자별,003555,003555,BB_20_2_F5,-8.258010453999729
투자자별,017860,017860,MACD_12_26_9_F5,-8.332149293999866
투자자별,035000,035000,BB_20_2.5_F10,-8.353847299999847
투자자별,016610,016610,MACD_8_21_5_F10,-8.516348729999528
투자자별,017860,017860,VolAdj_F5_V15,-8.582896298999906
투자자별,012630,012630,RSI_14_30_F5,-8.627452893999696
투자자별,002460,002460,VolSpike_10_3x,-8.679058159999787
투자자별,011200,011200,BB_20_2.5_F10,-8.766251185999915
투자자별,035000,035000,VolAdj_F10_V20,-8.77957611499919
투자자별,011200,011200,MACD_12_26_9_F5,-8.792914228999273
투자자별,002460,002460,MACD_8_21_5_F10,-8.868069359999433
앙상블,35720,카카오,MeanRev_20_2,-9.004872952999815
투자자별,032640,032640,RetailContra_10_90,-9.006630479999437
투자자별,009540,009540,TrendStr_10_50_5,-9.00707344599931
투자자별,006360,006360,BB_20_2.5_F10,-9.080139649999962
앙상블,373220,LG에너지솔루션,Breakout_50_10,-9.106287499999686
투자자별,003555,003555,BB_20_2.5_F10,-9.145477848999889
투자자별,051900,051900,VolSpike_20_2x,-9.158771999999344
투자자별,001045,001045,RSI_14_30_F5,-9.256551739999562
투자자별,012630,012630,MACD_12_26_9_F5,-9.441910114999455
투자자별,007340,007340,RSI_14_30_F5,-9.493732207999557
투자자별,000210,000210,MACD_8_21_5_F10,-9.509943350999263
투자자별,001040,001040,RetailContra_10_90,-9.6237485749996
투자자별,001040,001040,VolAdj_F5_V15,-9.66935892399934
투자자별,039570,039570,TrendStr_20_100_10,-9.67122505499944
투자자별,015590,015590,RSI_7_25_F10,-9.921853703999266
투자자별,027410,027410,RetailContra_5_80,-9.923323420998976
투자자별,000480,000480,SmartDiv_50_20,-9.96203190999952
투자자별,039570,039570,BB_20_2.5_F10,-10.037727679999902
투자자별,051900,051900,BB_20_2_F5,-10.133149999999642
앙상블,68270,셀트리온제약,MeanRev_20_2,-10.170753429999754
투자자별,001120,001120,MACD_8_21_5_F10,-10.189452499999062
포트폴리오,PORTFOLIO,ForeignRotation_L20_Top2_R5,ForeignRotation_L20_Top2_R5,-10.260905224997922
투자자별,002460,002460,RSI_14_30_F5,-10.263709979999602
투자자별,039570,039570,MACD_8_21_5_F10,-10.274217404999316
앙상블,35720,카카오,VolBreak_0.6_5,-10.338571628997922
투자자별,001460,001460,BB_20_2_F5,-10.366707799999594
투자자별,000590,000590,BB_20_2.5_F10,-10.378758999999912
투자자별,001250,001250,BB_20_2.5_F10,-10.473758559999958
투자자별,007070,007070,VolSpike_10_3x,-10.561187666999876
투자자별,000300,000300,VolSpike_20_2x,-10.63960422999926
투자자별,014790,014790,VolSpike_10_3x,-10.677979734999626
투자자별,000215,000215,MACD_12_26_9_F5,-10.731092893999548
투자자별,001460,001460,VolSpike_10_3x,-10.795894099999606
