rank,market,exchange,timeframe,universe,strategy,params,return_pct,sharpe,mdd_pct,trades
406,futures,binance_futures,4h,top10,OR_LOOSE,KAMA120/TSMOM180/MA300,940.6285457501004,0.6681011355729733,-68.27401925471527,2104
407,futures,binance_futures,1d,top5,OR_LOOSE+vix+dxy,KAMA5/TSMOM90/MA30,427.8881967018142,0.6625577069920597,-56.3219801149924,1438
408,futures,binance_futures,1d,top5,OR_LOOSE+lsratio+vix+dxy,KAMA5/TSMOM90/MA30,427.8881967018142,0.6625577069920597,-56.3219801149924,1438
409,futures,binance_futures,1d,top5,OR_LOOSE+funding+vix+dxy,KAMA5/TSMOM90/MA30,427.8881967018142,0.6625577069920597,-56.3219801149924,1438
410,futures,binance_futures,1d,top5,OR_LOOSE+funding+oi+vix+dxy,KAMA5/TSMOM90/MA30,427.8881967018142,0.6625577069920597,-56.3219801149924,1438
411,futures,binance_futures,1d,top5,OR_LOOSE+oi+vix+dxy,KAMA5/TSMOM90/MA30,427.8881967018142,0.6625577069920597,-56.3219801149924,1438
412,futures,binance_futures,1d,top5,OR_LOOSE+oi+lsratio+vix+dxy,KAMA5/TSMOM90/MA30,427.8881967018142,0.6625577069920597,-56.3219801149924,1438
413,futures,binance_futures,1d,top5,OR_LOOSE+funding+oi+lsratio+vix+dxy,KAMA5/TSMOM90/MA30,427.8881967018142,0.6625577069920597,-56.3219801149924,1438
414,futures,binance_futures,1d,top5,OR_LOOSE+funding+lsratio+vix+dxy,KAMA5/TSMOM90/MA30,427.8881967018142,0.6625577069920597,-56.3219801149924,1438
415,spot,binance_spot,1d,top10,tsmom_only,KAMA5/TSMOM90,1762.2323810870118,0.6613092748135627,-91.38783925883412,448
416,futures,binance_futures,1d,top5,OR_LOOSE+oi+dxy,KAMA5/TSMOM90/MA30,419.25781824690114,0.6577366028621211,-57.7202109992655,1420
417,futures,binance_futures,1d,top5,OR_LOOSE+funding+oi+dxy,KAMA5/TSMOM90/MA30,419.25781824690114,0.6577366028621211,-57.7202109992655,1420
418,futures,binance_futures,1d,top5,OR_LOOSE+dxy,KAMA5/TSMOM90/MA30,419.25781824690114,0.6577366028621211,-57.7202109992655,1420
419,futures,binance_futures,1d,top5,OR_LOOSE+lsratio+dxy,KAMA5/TSMOM90/MA30,419.25781824690114,0.6577366028621211,-57.7202109992655,1420
420,futures,binance_futures,1d,top5,OR_LOOSE+oi+lsratio+dxy,KAMA5/TSMOM90/MA30,419.25781824690114,0.6577366028621211,-57.7202109992655,1420
421,futures,binance_futures,1d,top5,OR_LOOSE+funding+lsratio+dxy,KAMA5/TSMOM90/MA30,419.25781824690114,0.6577366028621211,-57.7202109992655,1420
422,futures,binance_futures,1d,top5,OR_LOOSE+funding+dxy,KAMA5/TSMOM90/MA30,419.25781824690114,0.6577366028621211,-57.7202109992655,1420
423,futures,binance_futures,1d,top5,OR_LOOSE+funding+oi+lsratio+dxy,KAMA5/TSMOM90/MA30,419.25781824690114,0.6577366028621211,-57.7202109992655,1420
424,spot,upbit,1d,top5,or_loose_no_gate,KAMA5/TSMOM90,1530.452971743284,0.6553408262584379,-90.64441886839812,620
425,spot,bithumb,1d,top10,or_loose_no_gate,KAMA5/TSMOM90,3670.695719238723,0.6532520897781846,-90.02479883720783,1247
426,spot,bithumb,1d,top20,or_loose_no_gate,KAMA10/TSMOM60,3436.494987019087,0.6434997193991145,-80.91430717762196,1498
427,futures,binance_futures,1d,top5,OR_LOOSE+fear_greed+vix,KAMA10/TSMOM60/MA30,408.1242663611106,0.6416530913780277,-55.73263841645555,1024
428,futures,binance_futures,1d,top5,OR_LOOSE+lsratio+fear_greed+vix,KAMA10/TSMOM60/MA30,408.1242663611106,0.6416530913780277,-55.73263841645555,1024
429,futures,binance_futures,1d,top5,OR_LOOSE+funding+lsratio+fear_greed+vix,KAMA10/TSMOM60/MA30,408.1242663611106,0.6416530913780277,-55.73263841645555,1024
430,futures,binance_futures,1d,top5,OR_LOOSE+funding+oi+lsratio+fear_greed+vix,KAMA10/TSMOM60/MA30,408.1242663611106,0.6416530913780277,-55.73263841645555,1024
431,futures,binance_futures,1d,top5,OR_LOOSE+oi+lsratio+fear_greed+vix,KAMA10/TSMOM60/MA30,408.1242663611106,0.6416530913780277,-55.73263841645555,1024
432,futures,binance_futures,1d,top5,OR_LOOSE+funding+fear_greed+vix,KAMA10/TSMOM60/MA30,408.1242663611106,0.6416530913780277,-55.73263841645555,1024
433,futures,binance_futures,1d,top5,OR_LOOSE+funding+oi+fear_greed+vix,KAMA10/TSMOM60/MA30,408.1242663611106,0.6416530913780277,-55.73263841645555,1024
434,futures,binance_futures,1d,top5,OR_LOOSE+oi+fear_greed+vix,KAMA10/TSMOM60/MA30,408.1242663611106,0.6416530913780277,-55.73263841645555,1024
435,spot,upbit,1d,top10,buy_hold,KAMA20/TSMOM30,958.8254110633011,0.6360773719489734,-91.02889623968076,6
436,spot,upbit,1d,top10,buy_hold,KAMA5/TSMOM90,958.8254110633011,0.6360773719489734,-91.02889623968076,6
437,spot,upbit,1d,top10,buy_hold,KAMA10/TSMOM60,958.8254110633011,0.6360773719489734,-91.02889623968076,6
438,futures,binance_futures,1d,top20,OR_LOOSE+funding+fear_greed,KAMA20/TSMOM30/MA50,494.52570295244067,0.634683793802515,-67.74132063784063,1468
439,futures,binance_futures,1d,top20,OR_LOOSE+oi+lsratio+fear_greed,KAMA20/TSMOM30/MA50,494.52570295244067,0.634683793802515,-67.74132063784063,1468
440,futures,binance_futures,1d,top20,OR_LOOSE+fear_greed,KAMA20/TSMOM30/MA50,494.52570295244067,0.634683793802515,-67.74132063784063,1468
441,futures,binance_futures,1d,top20,OR_LOOSE+funding+oi+lsratio+fear_greed,KAMA20/TSMOM30/MA50,494.52570295244067,0.634683793802515,-67.74132063784063,1468
442,futures,binance_futures,1d,top20,OR_LOOSE+lsratio+fear_greed,KAMA20/TSMOM30/MA50,494.52570295244067,0.634683793802515,-67.74132063784063,1468
443,futures,binance_futures,1d,top20,OR_LOOSE+oi+fear_greed,KAMA20/TSMOM30/MA50,494.52570295244067,0.634683793802515,-67.74132063784063,1468
444,futures,binance_futures,1d,top20,OR_LOOSE+funding+oi+fear_greed,KAMA20/TSMOM30/MA50,494.52570295244067,0.634683793802515,-67.74132063784063,1468
445,futures,binance_futures,1d,top20,OR_LOOSE+funding+lsratio+fear_greed,KAMA20/TSMOM30/MA50,494.52570295244067,0.634683793802515,-67.74132063784063,1468
446,spot,bithumb,1d,top10,tsmom_only,KAMA5/TSMOM90,2969.553429962691,0.6340550272001425,-90.05512678989137,349
447,spot,upbit,1d,btc_only,tsmom_only,KAMA5/TSMOM90,616.9765998716222,0.6317788136360917,-72.41452484918057,126
448,spot,binance_spot,1d,top20,tsmom_only,KAMA5/TSMOM90,1229.6368876192141,0.631492896525171,-91.74296369385077,568
449,spot,bithumb,1d,top20,or_loose_no_gate,KAMA5/TSMOM90,2851.055091341982,0.627129749560715,-86.34718152968654,1866
450,spot,binance_spot,1d,top5,or_loose_no_gate,KAMA10/TSMOM60,781.5137488477442,0.6186259967850736,-73.45182892102798,635
451,futures,binance_futures,1d,top5,OR_LOOSE+funding+oi+fear_greed+dxy,KAMA20/TSMOM30/MA50,289.0717894450312,0.6177881067183798,-49.41598881971206,1204
452,futures,binance_futures,1d,top5,OR_LOOSE+lsratio+fear_greed+dxy,KAMA20/TSMOM30/MA50,289.0717894450312,0.6177881067183798,-49.41598881971206,1204
453,futures,binance_futures,1d,top5,OR_LOOSE+funding+oi+lsratio+fear_greed+dxy,KAMA20/TSMOM30/MA50,289.0717894450312,0.6177881067183798,-49.41598881971206,1204
454,futures,binance_futures,1d,top5,OR_LOOSE+oi+lsratio+fear_greed+dxy,KAMA20/TSMOM30/MA50,289.0717894450312,0.6177881067183798,-49.41598881971206,1204
455,futures,binance_futures,1d,top5,OR_LOOSE+fear_greed+dxy,KAMA20/TSMOM30/MA50,289.0717894450312,0.6177881067183798,-49.41598881971206,1204
456,futures,binance_futures,1d,top5,OR_LOOSE+funding+lsratio+fear_greed+dxy,KAMA20/TSMOM30/MA50,289.0717894450312,0.6177881067183798,-49.41598881971206,1204
457,futures,binance_futures,1d,top5,OR_LOOSE+funding+fear_greed+dxy,KAMA20/TSMOM30/MA50,289.0717894450312,0.6177881067183798,-49.41598881971206,1204
458,futures,binance_futures,1d,top5,OR_LOOSE+oi+fear_greed+dxy,KAMA20/TSMOM30/MA50,289.0717894450312,0.6177881067183798,-49.41598881971206,1204
459,futures,binance_futures,1d,top10,OR_LOOSE+funding+oi+lsratio+fear_greed,KAMA10/TSMOM60/MA30,350.88208175322245,0.6171044460175724,-56.16865594582387,1418
460,futures,binance_futures,1d,top10,OR_LOOSE+funding+fear_greed,KAMA10/TSMOM60/MA30,350.88208175322245,0.6171044460175724,-56.16865594582387,1418
461,futures,binance_futures,1d,top10,OR_LOOSE+funding+lsratio+fear_greed,KAMA10/TSMOM60/MA30,350.88208175322245,0.6171044460175724,-56.16865594582387,1418
462,futures,binance_futures,1d,top10,OR_LOOSE+funding+oi+fear_greed,KAMA10/TSMOM60/MA30,350.88208175322245,0.6171044460175724,-56.16865594582387,1418
463,futures,binance_futures,1d,top10,OR_LOOSE+oi+lsratio+fear_greed,KAMA10/TSMOM60/MA30,350.88208175322245,0.6171044460175724,-56.16865594582387,1418
464,futures,binance_futures,1d,top10,OR_LOOSE+lsratio+fear_greed,KAMA10/TSMOM60/MA30,350.88208175322245,0.6171044460175724,-56.16865594582387,1418
465,futures,binance_futures,1d,top10,OR_LOOSE+oi+fear_greed,KAMA10/TSMOM60/MA30,350.88208175322245,0.6171044460175724,-56.16865594582387,1418
466,futures,binance_futures,1d,top10,OR_LOOSE+fear_greed,KAMA10/TSMOM60/MA30,350.88208175322245,0.6171044460175724,-56.16865594582387,1418
467,spot,bithumb,1d,top20,tsmom_only,KAMA5/TSMOM90,2466.4265525924925,0.6156603113602604,-89.1862371389062,474
468,futures,binance_futures,1d,btc_only,OR_LOOSE+funding+lsratio+vix,KAMA20/TSMOM30/MA50,462.86867098391264,0.6156328162128185,-51.0554358308992,224
469,futures,binance_futures,1d,btc_only,OR_LOOSE+funding+oi+vix,KAMA20/TSMOM30/MA50,462.86867098391264,0.6156328162128185,-51.0554358308992,224
470,futures,binance_futures,1d,btc_only,OR_LOOSE+lsratio+vix,KAMA20/TSMOM30/MA50,462.86867098391264,0.6156328162128185,-51.0554358308992,224
471,futures,binance_futures,1d,btc_only,OR_LOOSE+funding+vix,KAMA20/TSMOM30/MA50,462.86867098391264,0.6156328162128185,-51.0554358308992,224
472,futures,binance_futures,1d,btc_only,OR_LOOSE+oi+lsratio+vix,KAMA20/TSMOM30/MA50,462.86867098391264,0.6156328162128185,-51.0554358308992,224
473,futures,binance_futures,1d,btc_only,OR_LOOSE+vix,KAMA20/TSMOM30/MA50,462.86867098391264,0.6156328162128185,-51.0554358308992,224
474,futures,binance_futures,1d,btc_only,OR_LOOSE+oi+vix,KAMA20/TSMOM30/MA50,462.86867098391264,0.6156328162128185,-51.0554358308992,224
475,futures,binance_futures,1d,btc_only,OR_LOOSE+funding+oi+lsratio+vix,KAMA20/TSMOM30/MA50,462.86867098391264,0.6156328162128185,-51.0554358308992,224
476,futures,binance_futures,4h,btc_only,OR_LOOSE,KAMA120/TSMOM180/MA300,339.72442504891853,0.6136702305520241,-61.642836155786384,976
477,spot,bithumb,1d,top10,tsmom_only,KAMA10/TSMOM60,2241.2628134387865,0.6116195203127252,-81.4595717530203,473
478,spot,binance_spot,1d,top10,or_loose_no_gate,KAMA20/TSMOM30,1070.2017639811309,0.6062679220962035,-84.30544117168056,1142
