symbol,profit_factor,total_return,win_rate,mdd,num_trades,sharpe,data_start,data_end
LINKUSDT,0.7965302738118362,-54.1185233994731,25.892857142857146,-55.52301906628227,112,-0.10392638899788677,2021-01-01,2026-01-24
LISTAUSDT,0.6994163299086451,-38.29083420427857,31.25,-62.98514874704526,32,-0.6990456762913129,2024-06-20,2025-12-20
LOKAUSDT,0.6203719920187659,-30.747455454138596,27.77777777777778,-30.74745545413859,18,-0.3751160684471881,2024-09-24,2025-12-28
LOOMUSDT,1.5793528209669483,25.760077839483152,42.857142857142854,-12.147253786675073,21,0.41155938408953024,2023-10-11,2025-12-28
LPTUSDT,0.810665844728647,-73.12052430126303,30.434782608695656,-87.53606164390808,92,-0.24073747054869324,2021-11-11,2025-12-20
LQTYUSDT,0.6256004261754153,-75.95168104193627,25.862068965517242,-84.62490358823659,58,-0.5794187937840346,2023-03-10,2025-12-20
LRCUSDT,0.9033902789351644,-30.361481229822964,36.470588235294116,-58.07550063595387,85,-0.004752228016917559,2021-11-11,2025-12-20
LSKUSDT,1.2228486442086246,17.11900492162337,44.11764705882353,-44.914694670978214,34,0.31153464330657576,2024-01-25,2025-12-20
LTCUSDT,0.7626354772844336,-68.41989834237418,29.03225806451613,-82.96016937280183,124,-0.5280048601874219,2021-01-01,2026-01-24
LUMIAUSDT,1.4790988489662409,49.5214526643541,40.0,-34.45420107979683,20,0.5152221472496674,2024-12-18,2025-12-20
LUNA2USDT,1.3787689099542508,85.7054584437835,41.269841269841265,-42.663354169988786,63,0.45993354630861466,2022-09-10,2025-12-20
MAGICUSDT,0.8972320089532192,-21.84043101637082,37.5,-55.80862839438474,56,0.0415762126783136,2023-01-25,2025-12-20
MANAUSDT,1.2568621117187122,82.95530230904107,42.66666666666667,-38.92871791272862,75,0.32548007987011973,2021-11-11,2025-12-20
MANTAUSDT,1.2759901358038277,55.207905270569356,51.42857142857142,-43.26927547473016,35,0.37029944935726256,2024-01-18,2025-12-20
MASKUSDT,0.9144444854882079,-29.507735247191746,27.586206896551722,-77.33630372726394,87,0.03087140511853176,2021-11-11,2025-12-20
MAVIAUSDT,1.0720779650199337,4.016923956781149,63.63636363636363,-40.37599241430031,11,0.2681470307710694,2025-03-26,2025-12-20
MAVUSDT,0.7007545206362251,-53.8100637882505,38.18181818181819,-65.44947539389615,55,-0.27600336083963556,2023-06-29,2025-12-20
MBOXUSDT,0.9692309271021173,-3.137850251709895,34.61538461538461,-38.9250080138619,26,-0.04152064954514969,2024-08-28,2025-12-20
MDTUSDT,1.2274157736362312,15.068837519655599,31.25,-23.50882410055405,16,0.23961404848055218,2023-06-30,2025-12-28
MELANIAUSDT,2.118383314915804,69.704357271275,52.63157894736842,-12.808282320768228,19,0.9718088584292016,2025-01-20,2025-12-20
MEMEUSDT,1.2067957149666109,37.28229137875046,40.476190476190474,-41.26420269494934,42,0.3004945282715137,2023-11-03,2025-12-20
MERLUSDT,0.5297169222540336,-49.24392932932902,12.5,-58.614551115355574,16,-0.43232422137850846,2025-05-29,2025-12-20
METISUSDT,1.3350223098473244,45.70280969421168,48.38709677419355,-39.76791236024303,31,0.2933066915644277,2024-03-12,2025-12-20
MEUSDT,1.6962586578902596,45.84898874698213,39.130434782608695,-35.614582852015296,23,0.3377534451328577,2024-12-10,2025-12-20
MEWUSDT,1.0013296539137506,0.1362680328194532,40.74074074074074,-43.56615368572417,27,0.11744905652423401,2024-06-17,2025-12-20
MILKUSDT,0.7966331897890728,-11.034260289369557,30.76923076923077,-43.92719531242808,13,-1.8229421328453388,2025-05-06,2025-12-28
MINAUSDT,1.2258110939835836,42.482008131653416,37.28813559322034,-46.792786613735935,59,0.19880533847895693,2023-02-07,2025-12-20
MKRUSDT,1.119440264979553,72.5776144759847,31.182795698924732,-44.379927450374716,93,0.3512724431395482,2021-01-01,2025-12-28
MLNUSDT,0.3861039599277642,-38.39897664389314,42.857142857142854,-50.65971623087668,14,-0.8643129267944629,2025-03-31,2025-12-20
MOCAUSDT,0.6818221775010115,-26.34330866846287,29.629629629629626,-48.61995253480188,27,-1.4077962880049106,2024-12-16,2025-12-20
MOODENGUSDT,0.5782911998043013,-63.0726652981082,32.0,-66.61271215596689,25,-0.702026030302275,2024-10-25,2025-12-20
MORPHOUSDT,0.27067308736848733,-55.2038409421159,22.727272727272727,-60.78535173320322,22,-1.5570099396602697,2024-11-27,2025-12-20
MOVEUSDT,2.088437385402662,67.15709037970639,66.66666666666666,-25.002217744802728,15,0.6408932342845325,2024-12-09,2025-12-20
MOVRUSDT,0.7217469074834406,-38.86693228173236,29.166666666666668,-56.59129490202335,48,-0.4340939768824992,2023-12-26,2025-12-20
MTLUSDT,0.6782233433441647,-60.14342701446176,32.58426966292135,-74.10266877532577,89,-0.2918933414908929,2021-11-11,2025-12-20
MUBARAKUSDT,0.3626353075055595,-45.965631508170034,31.25,-47.919830808611955,16,-1.2898471813043135,2025-03-17,2025-12-20
MYROUSDT,0.8604960275793279,-22.245498837886203,42.857142857142854,-51.88576384509982,35,-0.061627468225031276,2024-03-05,2025-12-28
NEARUSDT,1.13956971453807,93.8415507135429,36.11111111111111,-55.97935605246196,108,0.3795989062168937,2021-01-01,2026-01-24
NEIROETHUSDT,0.3534370416028799,-72.64990109381661,19.230769230769234,-83.01993702287717,26,-1.520585398780067,2024-09-06,2025-12-28
NEIROUSDT,0.6025777719213716,-42.24742623703202,40.0,-63.3463275840655,30,-0.5846211625899923,2024-09-16,2025-12-20
NEOUSDT,0.8128054346116105,-45.24502552451353,33.69565217391305,-64.84432176745439,92,-0.23430289613629302,2021-11-11,2025-12-20
NFPUSDT,1.4686435664325064,87.4928629876367,45.714285714285715,-36.38898860330858,35,0.511148141979199,2023-12-27,2025-12-20
NILUSDT,0.7819430506683193,-13.461182861973686,23.076923076923077,-44.70877939256746,13,-0.8604479810495211,2025-03-24,2025-12-20
NKNUSDT,0.6346011824015851,-74.25881135445962,29.545454545454547,-88.39999927623462,88,-0.4080434612932315,2021-11-11,2025-12-20
NMRUSDT,0.6456115959467361,-71.32565048196517,25.806451612903224,-78.50172747534786,62,-0.7521577946151062,2023-06-22,2025-12-20
NOTUSDT,1.0630743386096098,5.921449979033033,36.11111111111111,-43.32620796617553,36,0.2035115722086908,2024-05-16,2025-12-20
NTRNUSDT,1.3371148041770435,47.972598547924726,39.02439024390244,-38.322698347289936,41,0.33003225313014845,2023-11-14,2025-12-20
